sample,sample_name,strain,cSource,time
OGNWH,Ds_10a,CBS_464,glycerolMEA,3d2d
OGNWN,Ds_10b,CBS_464,glycerolMEA,3d2d
OGNWO,Ds_10c,CBS_464,glycerolMEA,3d2d
OGNTP,Ds_01a,CBS_464,glycerol,5d
OGNTS,Ds_01b,CBS_464,glycerol,5d
OGNTT,Ds_01c,CBS_464,glycerol,5d
OGNYZ,Ds_23a,CBS_464,cellulose-glucose,3d2d
OGNZA,Ds_23b,CBS_464,cellulose-glucose,3d2d
OGNZB,Ds_23c,CBS_464,cellulose-glucose,3d2d
OGNZC,Ds_23d,CBS_464,cellulose-glucose,3d2d
OGNYB,Ds_19a,CBS_464,cellulose-glucose,3d5h
OGNYC,Ds_19b,CBS_464,cellulose-glucose,3d5h
OGNYG,Ds_19c,CBS_464,cellulose-glucose,3d5h
OGNXP,Ds_16a,CBS_464,celluloseMEA,3d2d
OGNXS,Ds_16b,CBS_464,celluloseMEA,3d2d
OGNXT,Ds_16c,CBS_464,celluloseMEA,3d2d
OGNYU,Ds_22a,CBS_464,cellulose,3d2d
OGNYW,Ds_22b,CBS_464,cellulose,3d2d
OGNYX,Ds_22c,CBS_464,cellulose,3d2d
OGNYY,Ds_22d,CBS_464,cellulose,3d2d
OGNUS,Ds_06b,CBS_464,cellulose,5d
OGNUT,Ds_06c,CBS_464,cellulose,5d
OGNXY,Ds_18a,CBS_464,cellulose,3d5h
OGNXZ,Ds_18b,CBS_464,cellulose,3d5h
OGNYA,Ds_18c,CBS_464,cellulose,3d5h
OGNUY,Ds_08a,CBS_464,guargum,5d
OGNUZ,Ds_08b,CBS_464,guargum,5d
OGNWA,Ds_08c,CBS_464,guargum,5d
OGNXH,Ds_15a,CBS_464,PGAMEA,3d2d
OGNXN,Ds_15b,CBS_464,PGAMEA,3d2d
OGNXO,Ds_15c,CBS_464,PGAMEA,3d2d
OGNWB,Ds_09a,CBS_464,SBP,5d
OGNWC,Ds_09b,CBS_464,SBP,5d
OGNWG,Ds_09c,CBS_464,SBP,5d
OGNZP,Ds_25b,CBS_464,xylan-glucose,3d2d
OGNZS,Ds_25c,CBS_464,xylan-glucose,3d2d
OGNYP,Ds_21a,CBS_464,xylan-glucose,3d5h
OGNYS,Ds_21b,CBS_464,xylan-glucose,3d5h
OGNYT,Ds_21c,CBS_464,xylan-glucose,3d5h
OGNXU,Ds_17a,CBS_464,xylanMEA,3d2d
OGNXW,Ds_17b,CBS_464,xylanMEA,3d2d
OGNXX,Ds_17c,CBS_464,xylanMEA,3d2d
OGNZG,Ds_24a,CBS_464,xylan,3d2d
OGNZH,Ds_24b,CBS_464,xylan,3d2d
OGNZN,Ds_24c,CBS_464,xylan,3d2d
OGNUU,Ds_07a,CBS_464,xylan,5d
OGNUW,Ds_07b,CBS_464,xylan,5d
OGNUX,Ds_07c,CBS_464,xylan,5d
OGNYH,Ds_20a,CBS_464,xylan,3d5h
OGNYN,Ds_20b,CBS_464,xylan,3d5h
OGNYO,Ds_20c,CBS_464,xylan,3d5h
OGNWU,Ds_12a,CBS_464,galactoseMEA,3d2d
OGNWW,Ds_12b,CBS_464,galactoseMEA,3d2d
OGNWX,Ds_12c,CBS_464,galactoseMEA,3d2d
OGNWY,Ds_13a,CBS_464,GAMEA,3d2d
OGNWZ,Ds_13b,CBS_464,GAMEA,3d2d
OGNXA,Ds_13c,CBS_464,GAMEA,3d2d
OGNWP,Ds_11a,CBS_464,glucoseMEA,3d2d
OGNWS,Ds_11b,CBS_464,glucoseMEA,3d2d
OGNWT,Ds_11c,CBS_464,glucoseMEA,3d2d
OGNTU,Ds_02a,CBS_464,glucose,5d
OGNTW,Ds_02b,CBS_464,glucose,5d
OGNTX,Ds_02c,CBS_464,glucose,5d
OGNUB,Ds_04a,CBS_464,mannose,5d
OGNUC,Ds_04b,CBS_464,mannose,5d
OGNUG,Ds_04c,CBS_464,mannose,5d
OGNTY,Ds_03a,CBS_464,xylose,5d
OGNTZ,Ds_03b,CBS_464,xylose,5d
OGNUA,Ds_03c,CBS_464,xylose,5d
OGNUH,Ds_05a,CBS_464,cellobiose,5d
OGNUN,Ds_05b,CBS_464,cellobiose,5d
OGNUO,Ds_05c,CBS_464,cellobiose,5d
OGNXB,Ds_14a,CBS_464,lactoseMEA,3d2d
OGNXC,Ds_14b,CBS_464,lactoseMEA,3d2d
OGNXG,Ds_14c,CBS_464,lactoseMEA,3d2d
